_c0,Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA,OBV
0,2020-01-02T00:00:00.000Z,326.1000061035156,329.9800109863281,324.7799987792969,329.80999755859375,329.80999755859375,4485800,,,
1,2020-01-03T00:00:00.000Z,326.7799987792969,329.8599853515625,325.5299987792969,325.8999938964844,325.8999938964844,3806900,,,-3806900
2,2020-01-06T00:00:00.000Z,323.1199951171875,336.3599853515625,321.20001220703125,335.8299865722656,335.8299865722656,5663100,,,1856200
3,2020-01-07T00:00:00.000Z,336.4700012207031,336.70001220703125,330.29998779296875,330.75,330.75,4703200,,,-2847000
4,2020-01-08T00:00:00.000Z,331.489990234375,342.70001220703125,331.04998779296875,339.260009765625,339.260009765625,7104500,,,4257500
5,2020-01-09T00:00:00.000Z,342.0,343.4200134277344,334.6099853515625,335.6600036621094,335.6600036621094,4709300,,,-451800
6,2020-01-10T00:00:00.000Z,337.1300048828125,338.5,327.2699890136719,329.04998779296875,329.04998779296875,4718300,,332.3228541782924,-5170100
7,2020-01-13T00:00:00.000Z,331.79998779296875,340.8500061035156,331.510009765625,338.9200134277344,338.9200134277344,6290000,59.5874638443123,333.62428501674106,1119900
8,2020-01-14T00:00:00.000Z,344.3999938964844,345.3800048828125,335.5199890136719,338.69000244140625,338.69000244140625,7199400,64.59045705297854,335.45142909458707,-6079500
9,2020-01-15T00:00:00.000Z,338.67999267578125,343.1700134277344,336.6000061035156,339.07000732421875,339.07000732421875,5158000,54.72580965361541,335.91428920200894,-921500
10,2020-01-16T00:00:00.000Z,343.5,343.55999755859375,335.8500061035156,338.6199951171875,338.6199951171875,5016000,63.271454361685265,337.03857421875,-5937500
11,2020-01-17T00:00:00.000Z,341.0,341.57000732421875,337.3800048828125,339.6700134277344,339.6700134277344,6066500,50.92384390579336,337.0971461704799,129000
12,2020-01-21T00:00:00.000Z,340.0,341.0,332.5899963378906,338.1099853515625,338.1099853515625,14350300,56.07932404332108,337.4471435546875,-14221300
13,2020-01-22T00:00:00.000Z,332.54998779296875,336.29998779296875,323.6000061035156,326.0,326.0,21730000,44.05462449821653,337.0114310128348,-35951300
14,2020-01-23T00:00:00.000Z,326.0400085449219,349.8800048828125,325.010009765625,349.6000061035156,349.6000061035156,18200300,63.56015083624843,338.53714425223217,-17751000
15,2020-01-24T00:00:00.000Z,348.4599914550781,359.8500061035156,345.8800048828125,353.1600036621094,353.1600036621094,17939700,66.93980734864664,340.60428728376115,188700
16,2020-01-27T00:00:00.000Z,345.95001220703125,351.8999938964844,341.0199890136719,342.8800048828125,342.8800048828125,7709500,53.62097909074984,341.14857264927457,-7520800
17,2020-01-28T00:00:00.000Z,345.8800048828125,352.3999938964844,342.7799987792969,348.5199890136719,348.5199890136719,6821600,58.56400584796865,342.5628574916295,-699200
18,2020-01-29T00:00:00.000Z,349.0,349.3999938964844,338.54998779296875,343.1600036621094,343.1600036621094,7643500,52.80952427747369,343.0614275251116,-8342700
19,2020-01-30T00:00:00.000Z,341.1000061035156,348.20001220703125,339.25,347.739990234375,347.739990234375,5328100,57.39291661707693,344.4371425083705,-3014600
20,2020-01-31T00:00:00.000Z,347.3900146484375,347.3900146484375,340.9800109863281,345.0899963378906,345.0899963378906,5230000,67.14569127279844,347.1642848423549,-8244600
21,2020-02-03T00:00:00.000Z,347.239990234375,359.6300048828125,346.2799987792969,358.0,358.0,6670600,59.33748693095815,348.3642839704241,-1574000
